uid,eprintid,datestamp,value,count
9476406,18642,20230601,views,1
9476407,8938,20230601,views,4
9476408,39003,20230601,views,1
9476409,6535,20230601,views,1
9476410,38993,20230601,views,1
9476411,2725,20230601,views,1
9476412,39416,20230601,views,1
9476413,43665,20230601,views,2
9476414,41336,20230601,views,1
9476415,41442,20230601,views,1
9476416,6721,20230601,views,1
9476417,44304,20230601,views,1
9476418,10328,20230601,views,1
9476419,35573,20230601,views,1
9476420,44440,20230601,views,1
9476421,42792,20230601,views,1
9476422,28178,20230601,views,3
9476423,25606,20230601,views,3
9476424,33052,20230601,views,1
9476425,21813,20230601,views,1
9476426,42321,20230601,views,1
9476427,43014,20230601,views,1
9476428,44740,20230601,views,1
9476429,40975,20230601,views,1
9476430,44794,20230601,views,2
9476431,21310,20230601,views,1
9476432,10182,20230601,views,1
9476433,44292,20230601,views,1
9476434,6451,20230601,views,1
9476435,8546,20230601,views,2
9476436,43066,20230601,views,1
9476437,10376,20230601,views,2
9476438,20547,20230601,views,1
9476439,42292,20230601,views,2
9476440,34035,20230601,views,1
9476441,38194,20230601,views,1
9476442,30334,20230601,views,1
9476443,17682,20230601,views,2
9476444,23669,20230601,views,1
9476445,22017,20230601,views,1
9476446,44689,20230601,views,1
9476447,28259,20230601,views,3
9476448,7275,20230601,views,1
9476449,10657,20230601,views,1
9476450,8133,20230601,views,1
9476451,42065,20230601,views,1
9476452,29950,20230601,views,1
9476453,41708,20230601,views,1
9476454,44417,20230601,views,1
9476455,44683,20230601,views,2
9476456,35957,20230601,views,1
9476457,42561,20230601,views,2
9476458,28262,20230601,views,2
9476459,10804,20230601,views,1
9476460,44481,20230601,views,1
9476461,37812,20230601,views,1
9476462,13431,20230601,views,4
9476463,44739,20230601,views,1
9476464,22293,20230601,views,1
9476465,23533,20230601,views,1
9476466,3632,20230601,views,1
9476467,18450,20230601,views,1
9476468,44582,20230601,views,1
9476469,33942,20230601,views,1
9476470,17621,20230601,views,1
9476471,44599,20230601,views,1
9476472,22789,20230601,views,6
9476473,43938,20230601,views,1
9476474,33847,20230601,views,1
9476475,28639,20230601,views,2
9476476,7907,20230601,views,3
9476477,38875,20230601,views,1
9476478,40774,20230601,views,1
9476479,29260,20230601,views,1
9476480,7760,20230601,views,1
9476481,14148,20230601,views,2
9476482,25245,20230601,views,1
9476483,14087,20230601,views,1
9476484,22152,20230601,views,1
9476485,34598,20230601,views,1
9476486,35863,20230601,views,14
9476487,43005,20230601,views,1
9476488,41042,20230601,views,1
9476489,43974,20230601,views,1
9476490,6616,20230601,views,1
9476491,36652,20230601,views,1
9476492,9139,20230601,views,1
9476493,44812,20230601,views,1
9476494,44749,20230601,views,1
9476495,44721,20230601,views,1
9476496,31049,20230601,views,2
9476497,31524,20230601,views,1
9476498,38765,20230601,views,1
9476499,17147,20230601,views,1
9476500,41101,20230601,views,1
9476501,36422,20230601,views,1
9476502,35650,20230601,views,1
9476503,44566,20230601,views,1
9476504,8171,20230601,views,6
9476505,17213,20230601,views,1
9476506,20918,20230601,views,1
9476507,37902,20230601,views,1
9476508,41570,20230601,views,2
9476509,13328,20230601,views,1
9476510,36471,20230601,views,1
9476511,40889,20230601,views,1
9476512,44651,20230601,views,1
9476513,27684,20230601,views,3
9476514,44716,20230601,views,1
9476515,10096,20230601,views,1
9476516,6444,20230601,views,1
9476517,12956,20230601,views,1
9476518,28031,20230601,views,1
9476519,44847,20230601,views,1
9476520,39667,20230601,views,1
9476521,42300,20230601,views,1
9476522,22699,20230601,views,1
9476523,20304,20230601,views,3
9476524,44416,20230601,views,1
9476525,43988,20230601,views,1
9476526,44748,20230601,views,1
9476527,8577,20230601,views,1
9476528,44524,20230601,views,1
9476529,9127,20230601,views,1
9476530,19716,20230601,views,1
9476531,36992,20230601,views,1
9476532,43906,20230601,views,1
9476533,7769,20230601,views,1
9476534,13489,20230601,views,2
9476535,8948,20230601,views,5
9476536,17878,20230601,views,3
9476537,44089,20230601,views,1
9476538,8545,20230601,views,4
9476539,44001,20230601,views,1
9476540,42403,20230601,views,1
9476541,31630,20230601,views,1
9476542,36599,20230601,views,1
9476543,8201,20230601,views,1
9476544,6578,20230601,views,5
9476545,37971,20230601,views,1
9476546,34091,20230601,views,1
9476547,38766,20230601,views,1
9476548,40133,20230601,views,1
9476549,39399,20230601,views,1
9476550,44451,20230601,views,1
9476551,42293,20230601,views,1
9476552,40399,20230601,views,1
9476553,44763,20230601,views,1
9476554,44710,20230601,views,1
9476555,36247,20230601,views,2
9476556,42326,20230601,views,1
9476557,7804,20230601,views,1
9476558,19888,20230601,views,1
9476559,14404,20230601,views,2
9476560,21566,20230601,views,1
9476561,40439,20230601,views,1
9476562,44426,20230601,views,1
9476563,36168,20230601,views,1
9476564,44619,20230601,views,1
9476565,44249,20230601,views,1
9476566,41404,20230601,views,1
9476567,44639,20230601,views,2
9476568,26399,20230601,views,1
