uid,eprintid,datestamp,value,count
9889890,29816,20230601,downloads,2
9889891,20254,20230601,downloads,1
9889892,38890,20230601,downloads,1
9889893,6601,20230601,downloads,1
9889894,21359,20230601,downloads,1
9889895,23371,20230601,downloads,2
9889896,23766,20230601,downloads,2
9889897,21339,20230601,downloads,1
9889898,18965,20230601,downloads,1
9889899,11743,20230601,downloads,1
9889900,14434,20230601,downloads,1
9889901,13174,20230601,downloads,1
9889902,44546,20230601,downloads,1
9889903,13211,20230601,downloads,2
9889904,12524,20230601,downloads,1
9889905,22946,20230601,downloads,1
9889906,17861,20230601,downloads,2
9889907,10527,20230601,downloads,1
9889908,9116,20230601,downloads,1
9889909,12257,20230601,downloads,1
9889910,39327,20230601,downloads,1
9889911,42701,20230601,downloads,1
9889912,43305,20230601,downloads,2
9889913,29874,20230601,downloads,2
9889914,42650,20230601,downloads,2
9889915,19003,20230601,downloads,2
9889916,19002,20230601,downloads,1
9889917,11103,20230601,downloads,2
9889918,26857,20230601,downloads,1
9889919,22869,20230601,downloads,2
9889920,15906,20230601,downloads,2
9889921,9061,20230601,downloads,1
9889922,23178,20230601,downloads,1
9889923,7516,20230601,downloads,1
9889924,8478,20230601,downloads,1
9889925,25955,20230601,downloads,1
9889926,7052,20230601,downloads,1
9889927,21231,20230601,downloads,1
9889928,24245,20230601,downloads,1
9889929,11910,20230601,downloads,1
9889930,17716,20230601,downloads,2
9889931,13041,20230601,downloads,1
9889932,12866,20230601,downloads,1
9889933,27211,20230601,downloads,1
9889934,10801,20230601,downloads,1
9889935,9012,20230601,downloads,1
9889936,16820,20230601,downloads,1
9889937,22953,20230601,downloads,1
9889938,11878,20230601,downloads,1
9889939,13110,20230601,downloads,1
9889940,13448,20230601,downloads,2
9889941,7644,20230601,downloads,1
9889942,23544,20230601,downloads,1
9889943,29828,20230601,downloads,2
9889944,42487,20230601,downloads,1
9889945,24737,20230601,downloads,1
9889946,9109,20230601,downloads,2
9889947,11811,20230601,downloads,1
9889948,39808,20230601,downloads,1
9889949,25116,20230601,downloads,2
9889950,17029,20230601,downloads,2
9889951,11853,20230601,downloads,1
9889952,10532,20230601,downloads,1
9889953,44522,20230601,downloads,1
9889954,16407,20230601,downloads,1
9889955,37603,20230601,downloads,1
9889956,11922,20230601,downloads,1
9889957,16177,20230601,downloads,1
9889958,35372,20230601,downloads,1
9889959,33375,20230601,downloads,1
9889960,17595,20230601,downloads,1
9889961,2832,20230601,downloads,1
9889962,10787,20230601,downloads,1
9889963,20838,20230601,downloads,1
9889964,19229,20230601,downloads,1
9889965,16392,20230601,downloads,2
9889966,21146,20230601,downloads,1
9889967,38627,20230601,downloads,1
9889968,7087,20230601,downloads,1
9889969,13455,20230601,downloads,1
9889970,29969,20230601,downloads,2
9889971,42515,20230601,downloads,1
9889972,10503,20230601,downloads,1
9889973,31041,20230601,downloads,1
9889974,7310,20230601,downloads,2
9889975,16318,20230601,downloads,1
9889976,10878,20230601,downloads,1
9889977,12187,20230601,downloads,1
9889978,13440,20230601,downloads,1
9889979,35425,20230601,downloads,5
9889980,38302,20230601,downloads,1
9889981,9608,20230601,downloads,1
9889982,44392,20230601,downloads,1
9889983,16471,20230601,downloads,1
9889984,17686,20230601,downloads,2
9889985,13199,20230601,downloads,1
9889986,21435,20230601,downloads,1
9889987,21712,20230601,downloads,1
9889988,11832,20230601,downloads,1
9889989,24396,20230601,downloads,1
9889990,33028,20230601,downloads,1
9889991,39055,20230601,downloads,1
9889992,16008,20230601,downloads,1
9889993,23192,20230601,downloads,1
9889994,5838,20230601,downloads,1
9889995,41586,20230601,downloads,1
9889996,23177,20230601,downloads,1
9889997,39033,20230601,downloads,1
9889998,11768,20230601,downloads,1
9889999,11959,20230601,downloads,1
9890000,10134,20230601,downloads,5
9890001,14145,20230601,downloads,2
9890002,30153,20230601,downloads,2
9890003,13735,20230601,downloads,1
9890004,25144,20230601,downloads,2
9890005,16167,20230601,downloads,1
9890006,38859,20230601,downloads,1
9890007,29867,20230601,downloads,2
9890008,37158,20230601,downloads,1
9890009,19004,20230601,downloads,1
9890010,29806,20230601,downloads,2
9890011,39960,20230601,downloads,1
9890012,10558,20230601,downloads,1
9890013,35956,20230601,downloads,3
9890014,7672,20230601,downloads,1
9890015,11841,20230601,downloads,1
9890016,44035,20230601,downloads,1
9890017,8982,20230601,downloads,1
9890018,36910,20230601,downloads,1
9890019,15566,20230601,downloads,2
9890020,10324,20230601,downloads,2
9890021,14358,20230601,downloads,1
9890022,24871,20230601,downloads,1
9890023,29835,20230601,downloads,2
9890024,24605,20230601,downloads,1
9890025,11812,20230601,downloads,1
9890026,29829,20230601,downloads,2
9890027,36729,20230601,downloads,1
9890028,25445,20230601,downloads,2
9890029,12386,20230601,downloads,2
9890030,29234,20230601,downloads,2
9890031,8586,20230601,downloads,1
9890032,8444,20230601,downloads,1
9890033,16472,20230601,downloads,1
9890034,16986,20230601,downloads,1
9890035,11796,20230601,downloads,1
9890036,10865,20230601,downloads,1
9890037,26361,20230601,downloads,1
9890038,11851,20230601,downloads,1
9890039,16180,20230601,downloads,1
9890040,37093,20230601,downloads,1
9890041,44819,20230601,downloads,2
9890042,10751,20230601,downloads,1
9890043,9444,20230601,downloads,1
9890044,17837,20230601,downloads,1
9890045,39487,20230601,downloads,1
9890046,11854,20230601,downloads,1
9890047,6048,20230601,downloads,1
9890048,8634,20230601,downloads,1
9890049,39755,20230601,downloads,1
9890050,11837,20230601,downloads,2
9890051,24211,20230601,downloads,1
9890052,43762,20230601,downloads,2
9890053,14250,20230601,downloads,2
9890054,30040,20230601,downloads,2
9890055,24207,20230601,downloads,1
9890056,13015,20230601,downloads,1
9890057,11886,20230601,downloads,1
